Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 32.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 45.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 60.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 62.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 60.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 40.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 40.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 35.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 55.00000000000001
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 52.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 42.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange True | Lam 0.95 to 1.0 with 4 | Method: bon | Compute: 128.0 | Success Rate: 40.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 72.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 77.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 75.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 72.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 75.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 65.0
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 72.5
Maze: pointmaze-giant-navigate-v0 | Replica Exchange False | Lam 0.98 to 1.02 with 8 | Method: bon | Compute: 256.0 | Success Rate: 77.5
